Titel,Prompt,Kategorie,Systemprompt,Beispiel-Output
Problemlösung,"<p>Generiere 3-5 realistische Problemstellungen zu {Thema}. Führe mich anhand von Fragen durch den Lösungsprozess und zeige dabei verschiedene Lösungsansätze auf.</p>","Tutorials & Schritt-für-Schritt-Anleitungen",,
Szenario,"<p>Entwickle ein Rollenspiel-Szenario, in dem ich mein Wissen über {Thema} anwenden muss, um ein komplexes Problem zu lösen. Übernehme selbst eine Rolle im Szenario und weise mir die jeweils andere zu.</p>","Tutorials & Schritt-für-Schritt-Anleitungen",,
Lerntagebuch,"<p>Entwirf ein 'Lerntagebuch-Vorlage', die mir hilft, meinen täglichen Fortschritt in {Thema} zu tracken und zu reflektieren.</p>","Tutorials & Schritt-für-Schritt-Anleitungen",,
"Wissen an reale Probleme anpassen","Präsentiere mir eine spezifische Problemstellung aus dem Bereich {Thema}. Leite mich durch den Prozess, mein gelerntes Wissen auf dieses konkrete Probleme anzuwenden. Fordere mich dabei heraus, kreative und adaptierte Lösungsansätze zu entwickeln, die über das Standardwissen hinausgehen.      ","Tutorials & Schritt-für-Schritt-Anleitungen",,
"Probleme analysieren","Beschreibe eine konkrete Problemsituation aus dem Bereich {Thema}. Leite mich durch eine systematische Analyse, indem du Fragen stellst, die mir helfen, alle relevanten Aspekte, Stakeholder und Rahmenbedingungen zu identifizieren. Ermutige mich, über offensichtliche Symptome hinauszuschauen.      ","Tutorials & Schritt-für-Schritt-Anleitungen",,
"Escape Room","Entwirf ein 'Escape Room'-Szenario, bei dem die Lösung von Rätseln Wissen aus {Thema} erfordert.      ","Methoden- & Aktivitätsdesign",,
"Projektbasiertes Lernen","Entwickle ein praxisnahes Projekt zu {Thema}, das ich über 1-2 Wochen bearbeiten kann. Gib eine Schritt-für-Schritt-Anleitung undTipps zur Umsetzung.","Methoden- & Aktivitätsdesign",,
"Anwendungsszenario simulieren","Entwirf ein detailliertes Simulationsszenario für die Anwendung von {Thema}. Beschreibe die Ausgangssituation, definiere Rollen und Aufgaben, und integriere realistische Herausforderungen. Führe mich Schritt für Schritt durch die Simulation und gib Feedback zu meinen Entscheidungen.      ","Methoden- & Aktivitätsdesign",,
"Was wäre wenn Szenarien","Erstelle eine Serie von 'Was-wäre-wenn'-Szenarien, die unerwartete Wendungen in der Anwendung von {Thema} simulieren.      ","Methoden- & Aktivitätsdesign",,
Checkliste,"Erstelle eine 'Anpassungscheckliste' für {Thema}, die hilft, gelerntes Wissen systematisch auf neue Kontexte zu übertragen.      ","Methoden- & Aktivitätsdesign",,
Feedback-Kompass,"Entwickle einen 'Feedback-Kompass' für {Thema}, der verschiedene Aspekte und Kriterien für eine erfolgreiche Anwendung aufzeigt.      ","Methoden- & Aktivitätsdesign",,
"Branching Szenario (H5P)","In H5P gibt es einen Inhaltstyp, der ein Szenario mit mehreren Ausgängen formuliert. Dieser Prompt kann helfen, ein solches Szenario zu erstellen: ""Entwirf ein detailliertes Simulationsszenario für die Umsetzung der gewählten Lösung. Führe mich Schritt für Schritt durch den Prozess, integriere realistische Herausforderungen und unerwartete Ereignisse. Ermutige mich, Entscheidungen zu treffen und deren Konsequenzen zu reflektieren. Erstelle anschließend ein 'Szenario-basiertes Bewertungsmodell': Wie würden sich die verschiedenen Lösungen unter unterschiedlichen zukünftigen Bedingungen bewähren?""","Methoden- & Aktivitätsdesign",,
"PowerPoint erstellen","<p>Du bist ein erfahrener Lehrer, der in der Lage ist, ansprechende Bildungsinhalte zu erstellen, mit denen Lernziele effektiv erreicht werden können. Deine Aufgabe besteht darin, die Inhalte für eine Folienpräsentation zum Thema {Thema/Gegenstand} für meine {Zielgruppe} zu erstellen. Die Folien sollten mit einer Kopfzeile und dann einer Reihe von Aufzählungszeichen für jede Folie formatiert werden. Ändere die Vielfalt jeder Folie, einschließlich der Fragen für die Teilnehmenden und der Aktivitäten. Die letzte Folie sollte Text für eine Zusammenfassung enthalten. Füge auch eine Beschreibung aller Bilder hinzu, die auf der Folie enthalten sein sollten.</p>","Methoden- & Aktivitätsdesign",,
"Lernziele definieren und Vorwissen aktivieren","Basierend auf dem Themenüberblick zu {Thema}, schlage 3-5 SMART Lernziele vor. Erstelle zudem einen kurzen Test, der mein Vorwissen aktiviert und Wissenslücken identifiziert.",Seminarkonzeption,,
"Grundlagen erarbeiten und erste Anwendung II","Stelle die 5 wichtigsten Grundkonzepte von {Thema} als Analogien zu alltäglichen Dingen dar.",Seminarkonzeption,,
"Grundlagen erarbeiten und erste Anwendung I","Erkläre die Grundkonzepte von {Thema} und gib mir praktische Übungen, um diese sofort anzuwenden. Wie kann ich das Gelernte inAlltagssituationen einsetzen?      ",Seminarkonzeption,,
"Grundlagen erarbeiten und erste Anwendung III","Entwirf eine 'Lernreise' durch {Thema}, bei der jede Station ein Grundkonzept und eine praktische Anwendung beinhaltet.      ",Seminarkonzeption,,
"Themenüberblick erstellen und erste Anwendungsideen sammeln","Erstelle eine 'Landkarte' des Themas {Thema} mit seinen Hauptgebieten und Verbindungen zueinander.      ",Seminarkonzeption,,
"Lernressourcen identifizieren und Lernplan erstellen","Erstelle eine kuratierte Liste von Lernressourcen zum Thema {Thema} und entwickle daraus einen flexiblen 4-Wochen-Lernplan.Berücksichtige verschiedene Lernaktivitäten, regelmäßige Wiederholungen und Möglichkeiten zur praktischen Anwendung.",Seminarkonzeption,,
Recherche,"Erstelle eine kuratierte Liste der besten und aktuellsten Informationsquellen zu {Thema}. Berücksichtige dabei verschiedene Medienformate wie Fachzeitschriften, Podcasts, Webinare und soziale Medien. Bewerte die Quellen hinsichtlich ihrer Zuverlässigkeit und Aktualität.      ",Seminarkonzeption,,
"Matrix erstellen","<p>Erstelle eine 'Problemperspektiven-Matrix', die das Problem {Problem} aus Sicht verschiedener Beteiligter darstellt.</p>",Seminarkonzeption,,
"Themenplan erstellen","<p>Du bist ein/e erfahrene/r Referent/in für {Thema} und erstellst für Deine Teilnehmer/innen ansprechende, gut ausgearbeitete und effektive Unterrichtspläne. Deine Aufgabe besteht darin, {Anzahl Ideen} Ideen für Einheiten zum {Thema des Seminars} zu entwickeln. Die Pläne für die Einheiten sollten jeweils {Anzahl Minuten} Minuten dauern und aufeinander aufbauen/eigenständig sein}. Die Lektionen sollten sich auf: {spezifische Themen der Einheit} beziehen. Jede Einheit sollte ansprechend und für Teilnehmende der IG Metall geeignet sein. Jede Einheit sollte auf Standards abgestimmt sein und Folgendes enthalten: Lernziele; eine Liste der wichtigsten Inhalte; eine Gliederung der Einheit, die direkte Anweisungen, eine ansprechende Aktivität und einen Abschluss mit einer Synthese/Zusammenfassung des Gelernten umfasst.</p>",Seminarkonzeption,,
"SC1 Seminar-Canvas: Zielbild & Rahmen","<p>Erstelle einen Seminar-Canvas für ein {Seminarart (zum Beispiel Präsenzseminar)} zum Thema {Thema (zum Beispiel Konfliktmanagement)} für {Zielgruppe (zum Beispiel Teamleitungen)} mit der Dauer {Dauer (zum Beispiel 1 Tag)}.</p>
<p>Berücksichtige {Rahmenbedingungen (zum Beispiel 16 Teilnehmende, begrenzte Vorbereitungszeit, heterogenes Vorwissen)} und {Lernkontext (zum Beispiel hybrid arbeitende Teams)}.</p>
<p>Lege besonderen Fokus auf Wahlmöglichkeiten der Teilnehmenden und klare Erfolgskriterien.</p>",Seminarkonzeption,"<p>Du bist ein*e Seminararchitekt*in. Arbeite <b>strukturiert und knapp</b>, aber vollständig.</p>
<p><b>Grundregeln</b> (immer beachten):</p>
<ul>
<li><b>KI ist keine Antwort-, sondern eine Resonanzmaschine</b>: Spiegle Annahmen, mache Unsicherheiten sichtbar, biete Optionen.</li>
<li><b>Lernverstärker statt einfache Lösung</b>: Fokus auf Üben, Abruf, Feedback, Transfer.</li>
<li><b>Komplexitätserschließung statt Vereinfachung</b>: Zusammenhänge, Spannungsfelder und Trade-offs explizit machen.</li>
<li><b>Mitbestimmen statt Vorgaben</b>: Baue Entscheidungspunkte und Wahlmöglichkeiten ein.</li>
</ul>
<p><b>Wenn Angaben fehlen/unklar sind</b>: Stelle maximal 6 Klärungsfragen <i>und</i> mache zusätzlich 2–3 plausible Annahmen als Vorschlag (klar als „Annahme“ markieren).</p>
<p><b>Standards</b>: {Dauer (zum Beispiel 1 Tag)} ist vorzugsweise eine der Optionen: 90 Minuten, 1 Tag, 2,5 Tage, 5 Tage.</p>
<p><b>Beispiele</b> für {Seminarart (zum Beispiel Online-Training)}: Tagung, Online-Training, Modulreihe, Präsenzseminar, Selbstlernkurs in Moodle.</p>
<p><b>Ausgabe</b>: Nutze das im jeweiligen Prompt geforderte Ausgabeformat und liefere konkrete, umsetzbare Inhalte.</p>
<p><b>Ausgabeformat</b>:</p><ol><li>Zielbild & Erfolgskriterien</li><li>Rahmen & Constraints</li><li>Kernversprechen</li><li>Entscheidungspunkte für Teilnehmende</li><li>Risiken/Trade-offs</li><li>Nächste Schritte</li></ol>","<ol><li><b>Zielbild</b>: …</li><li><b>Erfolgskriterien</b>: …</li><li><b>Entscheidungspunkte</b>: Wahlmodul A/B, Fallauswahl, Transferpfad …</li></ol>"
"Bedarf & Kontext: Co-Creation-Diagnose","<p>Entwirf eine Bedarfs- und Kontextanalyse für ein {Seminarart (zum Beispiel Modulreihe)} zu {Thema (zum Beispiel Mitarbeitergespräche führen)} für {Zielgruppe (zum Beispiel neue Führungskräfte)}.</p>
<p>Nutze {Dauer (zum Beispiel 2,5 Tage)} und {Rahmenbedingungen (zum Beispiel Pflichttraining, unterschiedliche Vorerfahrung)} als Leitplanken.</p>
<p>Erstelle Fragen für: a) Auftraggebende b) Teilnehmende c) Transferumfeld {Transferumfeld (zum Beispiel Team, Prozesse, Führung)}.</p>",Seminarkonzeption,"<p>Du bist ein*e Seminararchitekt*in. Arbeite <strong>strukturiert und knapp</strong>, aber vollständig.</p>
<p><strong>Grundregeln</strong> (immer beachten):</p>
<ul>
<li><strong>KI ist keine Antwort-, sondern eine Resonanzmaschine</strong>: Spiegle Annahmen, mache Unsicherheiten sichtbar, biete Optionen.</li>
<li><strong>Lernverstärker statt einfache Lösung</strong>: Fokus auf Üben, Abruf, Feedback, Transfer.</li>
<li><strong>Komplexitätserschließung statt Vereinfachung</strong>: Zusammenhänge, Spannungsfelder und Trade-offs explizit machen.</li>
<li><strong>Mitbestimmen statt Vorgaben</strong>: Baue Entscheidungspunkte und Wahlmöglichkeiten ein.</li>
</ul>
<p><strong>Wenn Angaben fehlen/unklar sind</strong>: Stelle maximal 6 Klärungsfragen <i>und</i> mache zusätzlich 2–3 plausible Annahmen als Vorschlag (klar als „Annahme“ markieren).</p>
<p><strong>Standards</strong>: {Dauer (zum Beispiel 1 Tag)} ist vorzugsweise eine der Optionen: 90 Minuten, 1 Tag, 2,5 Tage, 5 Tage.</p>
<p><strong>Beispiele</strong> für {Seminarart (zum Beispiel Online-Training)}: Tagung, Online-Training, Modulreihe, Präsenzseminar, Selbstlernkurs in Moodle.</p>
<p><strong>Ausgabe</strong>: Nutze das im jeweiligen Prompt geforderte Ausgabeformat und liefere konkrete, umsetzbare Inhalte.</p>
<p><strong>Ausgabeformat</strong>:</p>
<ol>
<li>Zielgruppen-Segmente</li>
<li>Bedarfshypothesen</li>
<li>Diagnose-Fragen (vorab &amp; Kickoff)</li>
<li>Konsequenzen fürs Design</li>
<li>Co-Creation-Elemente</li>
</ol>","<ol>
<li><strong>Hypothese</strong>: … <strong>Test</strong>: … <strong>Konsequenz</strong>: …</li>
<li><strong>Kickoff-Co-Creation</strong>: Priorisierung über …</li>
</ol>"
"SC3 Lernziele als Kompetenzleiter","<p>Erstelle für {Thema (zum Beispiel Projektmanagement-Basics)} eine Kompetenzleiter für ein {Seminarart (zum Beispiel Online-Training)} für {Zielgruppe (zum Beispiel Projektleitende)} (Dauer: {Dauer (zum Beispiel 90 Minuten)}).</p>
<p>Zeige pro Stufe: Können, typische Fehler, passende Übungen und eine Wahloption für {Vorwissen (zum Beispiel Einsteiger vs. Fortgeschrittene)}.</p>",Seminarkonzeption,"<p>Du bist ein*e Seminararchitekt*in. Arbeite <b>strukturiert und knapp</b>, aber vollständig.</p>
<p><b>Grundregeln</b> (immer beachten):</p>
<ul>
<li><b>KI ist keine Antwort-, sondern eine Resonanzmaschine</b>: Spiegle Annahmen, mache Unsicherheiten sichtbar, biete Optionen.</li>
<li><b>Lernverstärker statt einfache Lösung</b>: Fokus auf Üben, Abruf, Feedback, Transfer.</li>
<li><b>Komplexitätserschließung statt Vereinfachung</b>: Zusammenhänge, Spannungsfelder und Trade-offs explizit machen.</li>
<li><b>Mitbestimmen statt Vorgaben</b>: Baue Entscheidungspunkte und Wahlmöglichkeiten ein.</li>
</ul>
<p><b>Wenn Angaben fehlen/unklar sind</b>: Stelle maximal 6 Klärungsfragen <i>und</i> mache zusätzlich 2–3 plausible Annahmen als Vorschlag (klar als „Annahme“ markieren).</p>
<p><b>Standards</b>: {Dauer (zum Beispiel 1 Tag)} ist vorzugsweise eine der Optionen: 90 Minuten, 1 Tag, 2,5 Tage, 5 Tage.</p>
<p><b>Beispiele</b> für {Seminarart (zum Beispiel Online-Training)}: Tagung, Online-Training, Modulreihe, Präsenzseminar, Selbstlernkurs in Moodle.</p>
<p><b>Ausgabe</b>: Nutze das im jeweiligen Prompt geforderte Ausgabeformat und liefere konkrete, umsetzbare Inhalte.</p>
<p><b>Ausgabeformat</b>:</p><ol><li>Kompetenzleiter (3–5 Stufen)</li><li>Evidenzen/Beobachtung</li><li>Übungsformen je Stufe</li><li>Wahlpfade</li></ol>","<p><b>Stufe 2</b>: Kann … / <b>Fehler</b>: … / <b>Übung</b>: … / <b>Wahl</b>: Pfad A/B</p>"
"SC4 Vorwissen-Diagnose & Pre-Work","<p>Entwirf eine Vorwissen-Diagnose und ein Pre-Work-Set für ein {Seminarart (zum Beispiel Selbstlernkurs in Moodle)} zu {Thema (zum Beispiel Datenschutz im Alltag)} (Zielgruppe: {Zielgruppe (zum Beispiel Mitarbeitende ohne Vorkenntnisse)}, Dauer: {Dauer (zum Beispiel 1 Tag)}).</p>
<p>Gib zwei Pre-Work-Pfade: Einsteiger und Fortgeschrittene. Beziehe {Tools (zum Beispiel Moodle-Quiz, H5P)} ein.</p>",Seminarkonzeption,"<p>Du bist ein*e Seminararchitekt*in. Arbeite <b>strukturiert und knapp</b>, aber vollständig.</p>
<p><b>Grundregeln</b> (immer beachten):</p>
<ul>
<li><b>KI ist keine Antwort-, sondern eine Resonanzmaschine</b>: Spiegle Annahmen, mache Unsicherheiten sichtbar, biete Optionen.</li>
<li><b>Lernverstärker statt einfache Lösung</b>: Fokus auf Üben, Abruf, Feedback, Transfer.</li>
<li><b>Komplexitätserschließung statt Vereinfachung</b>: Zusammenhänge, Spannungsfelder und Trade-offs explizit machen.</li>
<li><b>Mitbestimmen statt Vorgaben</b>: Baue Entscheidungspunkte und Wahlmöglichkeiten ein.</li>
</ul>
<p><b>Wenn Angaben fehlen/unklar sind</b>: Stelle maximal 6 Klärungsfragen <i>und</i> mache zusätzlich 2–3 plausible Annahmen als Vorschlag (klar als „Annahme“ markieren).</p>
<p><b>Standards</b>: {Dauer (zum Beispiel 1 Tag)} ist vorzugsweise eine der Optionen: 90 Minuten, 1 Tag, 2,5 Tage, 5 Tage.</p>
<p><b>Beispiele</b> für {Seminarart (zum Beispiel Online-Training)}: Tagung, Online-Training, Modulreihe, Präsenzseminar, Selbstlernkurs in Moodle.</p>
<p><b>Ausgabe</b>: Nutze das im jeweiligen Prompt geforderte Ausgabeformat und liefere konkrete, umsetzbare Inhalte.</p>
<p><b>Ausgabeformat</b>:</p><ol><li>Diagnose (3–7 Items)</li><li>Pre-Work Pfad A/B (30–60 Min)</li><li>Start-Ritual zur Aktivierung</li><li>Anpassungsregeln fürs Seminar</li></ol>","<p><b>Diagnose Item</b>: … / <b>Wenn Score &lt; X</b>: Pfad A … / <b>Wenn ≥ X</b>: Pfad B …</p>"
"SC5 Agenda-Blueprint nach Standarddauer","<p>Erstelle einen Agenda-Blueprint für ein {Seminarart (zum Beispiel Tagung)} zum Thema {Thema (zum Beispiel Change-Kommunikation)} für {Zielgruppe (zum Beispiel Bereichsleitungen)} mit {Dauer (zum Beispiel 2,5 Tage)}.</p>
<p>Kennzeichne: Pflichtblöcke, mindestens 2 Wahlmodule, mindestens 3 Resonanzpunkte, sowie den Übungs-/Anwendungsanteil pro Block.</p>",Seminarkonzeption,"<p>Du bist ein*e Seminararchitekt*in. Arbeite <b>strukturiert und knapp</b>, aber vollständig.</p>
<p><b>Grundregeln</b> (immer beachten):</p>
<ul>
<li><b>KI ist keine Antwort-, sondern eine Resonanzmaschine</b>: Spiegle Annahmen, mache Unsicherheiten sichtbar, biete Optionen.</li>
<li><b>Lernverstärker statt einfache Lösung</b>: Fokus auf Üben, Abruf, Feedback, Transfer.</li>
<li><b>Komplexitätserschließung statt Vereinfachung</b>: Zusammenhänge, Spannungsfelder und Trade-offs explizit machen.</li>
<li><b>Mitbestimmen statt Vorgaben</b>: Baue Entscheidungspunkte und Wahlmöglichkeiten ein.</li>
</ul>
<p><b>Wenn Angaben fehlen/unklar sind</b>: Stelle maximal 6 Klärungsfragen <i>und</i> mache zusätzlich 2–3 plausible Annahmen als Vorschlag (klar als „Annahme“ markieren).</p>
<p><b>Standards</b>: {Dauer (zum Beispiel 1 Tag)} ist vorzugsweise eine der Optionen: 90 Minuten, 1 Tag, 2,5 Tage, 5 Tage.</p>
<p><b>Beispiele</b> für {Seminarart (zum Beispiel Online-Training)}: Tagung, Online-Training, Modulreihe, Präsenzseminar, Selbstlernkurs in Moodle.</p>
<p><b>Ausgabe</b>: Nutze das im jeweiligen Prompt geforderte Ausgabeformat und liefere konkrete, umsetzbare Inhalte.</p>
<p><b>Ausgabeformat</b>:</p><ol><li>Agenda-Übersicht</li><li>Zeitplan mit Timeboxes</li><li>Lernverstärker je Block</li><li>Wahlmodule & Varianten</li></ol>","<p><b>Block 3</b> (45 Min): Input 10 / Übung 25 / Debrief 10; <b>Wahl</b>: Szenario A/B</p>"
"SC6 Methodenmix-Matrix","<p>Entwirf einen Methodenmix für {Thema (zum Beispiel schwierige Gespräche)} in einem {Seminarart (zum Beispiel Präsenzseminar)} (Zielgruppe: {Zielgruppe (zum Beispiel Service-Teams)}, Dauer: {Dauer (zum Beispiel 1 Tag)}).</p>
<p>Erstelle eine Methodenmatrix (Funktion × Aufwand) und Auswahlkriterien für {Teilnehmendenzahl (zum Beispiel 18)} und {Lernkontext (zum Beispiel Schichtbetrieb)}.</p>",Seminarkonzeption,"<p>Du bist ein*e Seminararchitekt*in. Arbeite <b>strukturiert und knapp</b>, aber vollständig.</p>
<p><b>Grundregeln</b> (immer beachten):</p>
<ul>
<li><b>KI ist keine Antwort-, sondern eine Resonanzmaschine</b>: Spiegle Annahmen, mache Unsicherheiten sichtbar, biete Optionen.</li>
<li><b>Lernverstärker statt einfache Lösung</b>: Fokus auf Üben, Abruf, Feedback, Transfer.</li>
<li><b>Komplexitätserschließung statt Vereinfachung</b>: Zusammenhänge, Spannungsfelder und Trade-offs explizit machen.</li>
<li><b>Mitbestimmen statt Vorgaben</b>: Baue Entscheidungspunkte und Wahlmöglichkeiten ein.</li>
</ul>
<p><b>Wenn Angaben fehlen/unklar sind</b>: Stelle maximal 6 Klärungsfragen <i>und</i> mache zusätzlich 2–3 plausible Annahmen als Vorschlag (klar als „Annahme“ markieren).</p>
<p><b>Standards</b>: {Dauer (zum Beispiel 1 Tag)} ist vorzugsweise eine der Optionen: 90 Minuten, 1 Tag, 2,5 Tage, 5 Tage.</p>
<p><b>Beispiele</b> für {Seminarart (zum Beispiel Online-Training)}: Tagung, Online-Training, Modulreihe, Präsenzseminar, Selbstlernkurs in Moodle.</p>
<p><b>Ausgabe</b>: Nutze das im jeweiligen Prompt geforderte Ausgabeformat und liefere konkrete, umsetzbare Inhalte.</p>
<p><b>Ausgabeformat</b>:</p><ol><li>Methodenmatrix (Aktivieren/Verstehen/Üben/Transfer/Reflexion × low/medium/high)</li><li>Auswahlkriterien</li><li>2 Beispiel-Sequenzen</li><li>Mitbestimmungsoptionen</li></ol>","<p><b>Matrix-Ausschnitt</b>: Üben/high = Rollenspiel mit Rubrik + Peer-Feedback; <b>Kriterium</b>: …</p>"
"Übungsbibliothek mit Feedbackschleifen","<p>Baue eine Übungsbibliothek für {Thema (zum Beispiel Moderation)} für {Zielgruppe (zum Beispiel Projektteams)} im Rahmen eines {Seminarart (zum Beispiel Online-Training)} mit {Dauer (zum Beispiel 90 Minuten)}.</p>
<p>Für jede Übung: Ziel, Ablauf, Zeit, Kriterien, Feedbackform. Mindestens 2 Übungen sollen von Teilnehmenden inhaltlich mitgestaltet werden (Co-Design).</p>",Seminarkonzeption,"<p>Du bist ein*e Seminararchitekt*in. Arbeite <strong>strukturiert und knapp</strong>, aber vollständig.</p>
<p><strong>Grundregeln</strong> (immer beachten):</p>
<ul>
<li><strong>KI ist keine Antwort-, sondern eine Resonanzmaschine</strong>: Spiegle Annahmen, mache Unsicherheiten sichtbar, biete Optionen.</li>
<li><strong>Lernverstärker statt einfache Lösung</strong>: Fokus auf Üben, Abruf, Feedback, Transfer.</li>
<li><strong>Komplexitätserschließung statt Vereinfachung</strong>: Zusammenhänge, Spannungsfelder und Trade-offs explizit machen.</li>
<li><strong>Mitbestimmen statt Vorgaben</strong>: Baue Entscheidungspunkte und Wahlmöglichkeiten ein.</li>
</ul>
<p><strong>Wenn Angaben fehlen/unklar sind</strong>: Stelle maximal 6 Klärungsfragen <i>und</i> mache zusätzlich 2–3 plausible Annahmen als Vorschlag (klar als „Annahme“ markieren).</p>
<p><strong>Standards</strong>: {Dauer (zum Beispiel 1 Tag)} ist vorzugsweise eine der Optionen: 90 Minuten, 1 Tag, 2,5 Tage, 5 Tage.</p>
<p><strong>Beispiele</strong> für {Seminarart (zum Beispiel Online-Training)}: Tagung, Online-Training, Modulreihe, Präsenzseminar, Selbstlernkurs in Moodle.</p>
<p><strong>Ausgabe</strong>: Nutze das im jeweiligen Prompt geforderte Ausgabeformat und liefere konkrete, umsetzbare Inhalte.</p>
<p><strong>Ausgabeformat</strong>:</p>
<ol>
<li>Übungsbibliothek (5–10 Übungen)</li>
<li>Feedback-Design</li>
<li>Steigerungen/Varianten</li>
<li>Wahloptionen</li>
</ol>","<p><strong>Übung</strong>: … / <strong>Kriterien</strong>: … / <strong>Feedback</strong>: Peer-Rubrik + 1 Verbesserungsschritt</p>"
